代號,簡稱,資產類別,官方產業,大類股,市場別
6591,動力-KY,普通股,電子通路業,電子科技類,上市 (TWSE)
6592,和潤企業,普通股,半導體業,電子科技類,上市 (TWSE)
6593,台灣銘板,普通股,運動休閒,傳統產業類,上櫃 (TPEx)
6595,光禹國際,普通股,綜合,傳統產業類,興櫃 (ESM)
6596,寬宏藝術,普通股,綜合,傳統產業類,上櫃 (TPEx)
6597,立誠,普通股,金融保險業,金融保險類,上櫃 (TPEx)
6598,ABC-KY,普通股,光電業,電子科技類,上市 (TWSE)
6599,普達系統,普通股,電子通路業,電子科技類,興櫃 (ESM)
6603,富強鑫,普通股,電機機械,傳統產業類,上櫃 (TPEx)
6604,儒億,普通股,電機機械,傳統產業類,興櫃 (ESM)
6605,帝寶,普通股,建材營造,傳統產業類,上市 (TWSE)
6606,建德工業,普通股,電機機械,傳統產業類,上市 (TWSE)
6609,瀧澤科,普通股,電機機械,傳統產業類,上櫃 (TPEx)
6610,安成生技,普通股,光電業,電子科技類,興櫃 (ESM)
6612,奈米醫材,普通股,光電業,電子科技類,上櫃 (TPEx)
6613,朋億*,普通股,居家生活,傳統產業類,上櫃 (TPEx)
6614,資拓宏宇,普通股,未分類,其他/未分類,上市 (TWSE)
6615,慧智,普通股,光電業,電子科技類,上櫃 (TPEx)
6616,特昇-KY,普通股,未分類,其他/未分類,上櫃 (TPEx)
6617,共信-KY,普通股,光電業,電子科技類,上櫃 (TPEx)
6618,永虹先進,普通股,電腦及週邊設備業,電子科技類,興櫃 (ESM)
6620,漢達,普通股,光電業,電子科技類,上櫃 (TPEx)
6621,華宇藥,普通股,光電業,電子科技類,興櫃 (ESM)
6622,百聿數碼,普通股,綜合,傳統產業類,興櫃 (ESM)
6624,萬年清,普通股,綠能環保,政策綠能類,上櫃 (TPEx)
6625,必應,普通股,半導體業,電子科技類,上市 (TWSE)
6629,泰金-KY,普通股,未分類,其他/未分類,上櫃 (TPEx)
6634,欣耀,普通股,光電業,電子科技類,興櫃 (ESM)
6637,醫影,普通股,光電業,電子科技類,上櫃 (TPEx)
6638,沅聖,普通股,電子通路業,電子科技類,興櫃 (ESM)
6639,源大環能,普通股,通信網路業,電子科技類,興櫃 (ESM)
6640,均華,普通股,電子零組件業,電子科技類,上櫃 (TPEx)
6641,基士德-KY,普通股,綠能環保,政策綠能類,上市 (TWSE)
6642,富致,普通股,金融保險業,金融保險類,上櫃 (TPEx)
6643,M31,普通股,電子零組件業,電子科技類,上櫃 (TPEx)
6645,金萬林-創,普通股,光電業,電子科技類,上市 (TWSE)
6648,斯其大,普通股,居家生活,傳統產業類,興櫃 (ESM)
6649,台生材,普通股,光電業,電子科技類,上櫃 (TPEx)
6650,帝圖,普通股,綜合,傳統產業類,興櫃 (ESM)
6651,全宇昕,普通股,電子零組件業,電子科技類,上櫃 (TPEx)
6654,天正國際,普通股,居家生活,傳統產業類,上櫃 (TPEx)
6655,科定,普通股,半導體業,電子科技類,上市 (TWSE)
6657,華安,普通股,光電業,電子科技類,上市 (TWSE)
6658,聯策,普通股,居家生活,傳統產業類,上市 (TWSE)
6659,天明製藥,普通股,光電業,電子科技類,興櫃 (ESM)
6661,威健生技,普通股,光電業,電子科技類,上櫃 (TPEx)
6662,樂斯科,普通股,光電業,電子科技類,上櫃 (TPEx)
6664,群翊,普通股,金融保險業,金融保險類,上櫃 (TPEx)
6665,康聯生醫,普通股,光電業,電子科技類,興櫃 (ESM)
6666,羅麗芬-KY,普通股,光電業,電子科技類,上市 (TWSE)
6667,信紘科,普通股,居家生活,傳統產業類,上櫃 (TPEx)
6668,中揚光,普通股,資訊服務業,電子科技類,上市 (TWSE)
6669,緯穎,普通股,電子通路業,電子科技類,上市 (TWSE)
6670,復盛應用,普通股,未分類,其他/未分類,上市 (TWSE)
6671,三能-KY,普通股,未分類,其他/未分類,上市 (TWSE)
6672,騰輝電子-KY,普通股,金融保險業,金融保險類,上市 (TWSE)
6673,和詮,普通股,資訊服務業,電子科技類,興櫃 (ESM)
6674,鋐寶科技,普通股,其他電子業,電子科技類,上市 (TWSE)
6676,祥翊,普通股,光電業,電子科技類,興櫃 (ESM)
6677,瑩碩生技,普通股,光電業,電子科技類,興櫃 (ESM)
6679,鈺太,普通股,電子零組件業,電子科技類,上櫃 (TPEx)
6680,鑫創電子,普通股,電子通路業,電子科技類,上櫃 (TPEx)
6682,華旭先進,普通股,資訊服務業,電子科技類,興櫃 (ESM)
6683,雍智科技,普通股,電子零組件業,電子科技類,上櫃 (TPEx)
6684,安格,普通股,電子零組件業,電子科技類,上櫃 (TPEx)
6689,伊雲谷,普通股,未分類,其他/未分類,上市 (TWSE)
6690,安碁資訊,普通股,未分類,其他/未分類,上櫃 (TPEx)
6691,洋基工程,普通股,居家生活,傳統產業類,上市 (TWSE)
6692,進能服,普通股,綠能環保,政策綠能類,上櫃 (TPEx)
